Name,Sex,Age,Height,Weight,NOC,Games,Sport,Event,Year,Season,City,Medal
"Matthew Gregory ""Matt"" Kuchar",M,38.0,193.0,86.0,USA,2016 Summer,Golf,Golf Men's Individual,2016,Summer,Rio de Janeiro,Bronze
Anton Kumn,M,32.0,180.0,64.0,SVK,2016 Summer,Athletics,Athletics Men's 20 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Kateina Kudjov,F,26.0,173.0,63.0,CZE,2016 Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Anastasiya Valeryevna Kudinova,F,28.0,176.0,60.0,KAZ,2016 Summer,Athletics,Athletics Women's 400 metres,2016,Summer,Rio de Janeiro,No Medal
Denis Maksymilian Kudla,M,21.0,184.0,90.0,GER,2016 Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",2016,Summer,Rio de Janeiro,Bronze
Denis Kudla,M,23.0,180.0,80.0,USA,2016 Summer,Tennis,Tennis Men's Singles,2016,Summer,Rio de Janeiro,No Medal
Jan Kudlika,M,28.0,184.0,82.0,CZE,2016 Summer,Athletics,Athletics Men's Pole Vault,2016,Summer,Rio de Janeiro,No Medal
Yana Alekseyevna Kudryavtseva,F,18.0,170.0,47.0,RUS,2016 Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,2016,Summer,Rio de Janeiro,Silver
Micha Kuda,M,18.0,188.0,90.0,POL,2016 Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",2016,Summer,Rio de Janeiro,No Medal
Jan Kuf,M,25.0,186.0,78.0,CZE,2016 Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,2016,Summer,Rio de Janeiro,No Medal
Andreas Kuffner,M,29.0,196.0,94.0,GER,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,Silver
Attila Kugler,M,29.0,186.0,89.0,HUN,2016 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",2016,Summer,Rio de Janeiro,No Medal
Julius Khn,M,23.0,198.0,110.0,GER,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,Bronze
Corinna Kuhnle,F,29.0,174.0,65.0,AUT,2016 Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Susan Kuijken (-Krumins),F,30.0,172.0,54.0,NED,2016 Summer,Athletics,"Athletics Women's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Tatyana Aleksandrovna Kukhta,F,26.0,185.0,77.0,BLR,2016 Summer,Rowing,Rowing Women's Double Sculls,2016,Summer,Rio de Janeiro,No Medal
Aleksandar Kukolj,M,24.0,194.0,94.0,SRB,2016 Summer,Judo,Judo Men's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Nikolay Yulyevich Kuksenkov,M,27.0,172.0,65.0,RUS,2016 Summer,Gymnastics,Gymnastics Men's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Rodrick Kuku Ndongala,M,30.0,,66.0,COD,2016 Summer,Judo,Judo Men's Half-Lightweight,2016,Summer,Rio de Janeiro,No Medal
Denis Aleksandrovich Kulakov,M,33.0,174.0,80.0,RUS,2016 Summer,Shooting,"Shooting Men's Free Pistol, 50 metres",2016,Summer,Rio de Janeiro,No Medal
Jasmin Klbs,F,24.0,178.0,127.0,GER,2016 Summer,Judo,Judo Women's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Jaroslav Kulhav,M,31.0,188.0,77.0,CZE,2016 Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",2016,Summer,Rio de Janeiro,Silver
Serhiy Volodymyrovych Kulish,M,23.0,176.0,64.0,UKR,2016 Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,Silver
Leonie Kullmann,F,16.0,175.0,62.0,GER,2016 Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,Summer,Rio de Janeiro,No Medal
Rattikan Kulnoi,F,23.0,157.0,63.0,THA,2016 Summer,Weightlifting,Weightlifting Women's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Caroline Aiko Kumahara,F,21.0,166.0,66.0,BRA,2016 Summer,Table Tennis,Table Tennis Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Manoj Kumar Kaltagediya,M,29.0,172.0,64.0,IND,2016 Summer,Boxing,Boxing Men's Light-Welterweight,2016,Summer,Rio de Janeiro,No Medal
Sandeep Kumar,M,30.0,,,IND,2016 Summer,Athletics,Athletics Men's 50 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Surender Kumar,M,22.0,179.0,77.0,IND,2016 Summer,Hockey,Hockey Men's Hockey,2016,Summer,Rio de Janeiro,No Medal
Deepika Kumari,F,22.0,163.0,61.0,IND,2016 Summer,Archery,Archery Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Dimitar Angelov Kumchev,M,36.0,180.0,125.0,BUL,2016 Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Semi Kunabuli Kunatani,M,25.0,192.0,98.0,FIJ,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,Gold
"Yi-Ping ""Candie"" Kung",F,34.0,168.0,70.0,TPE,2016 Summer,Golf,Golf Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Sebastian Kuntschik,M,27.0,163.0,58.0,AUT,2016 Summer,Shooting,Shooting Men's Skeet,2016,Summer,Rio de Janeiro,No Medal
Lenchu Kunzang,F,24.0,165.0,59.0,BHU,2016 Summer,Shooting,"Shooting Women's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Kahena Kunze,F,25.0,172.0,68.0,BRA,2016 Summer,Sailing,Sailing Women's Skiff,2016,Summer,Rio de Janeiro,Gold
Kuo Hsing-Chun,F,22.0,157.0,58.0,TPE,2016 Summer,Weightlifting,Weightlifting Women's Lightweight,2016,Summer,Rio de Janeiro,Bronze
Taru Kuoppa,F,32.0,173.0,63.0,FIN,2016 Summer,Archery,Archery Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Martin Kupper,M,27.0,198.0,119.0,EST,2016 Summer,Athletics,Athletics Men's Discus Throw,2016,Summer,Rio de Janeiro,No Medal
Olim Kurbanov,M,18.0,186.0,69.0,TJK,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Ruslan Kurbanov,M,23.0,183.0,65.0,UZB,2016 Summer,Athletics,Athletics Men's Triple Jump,2016,Summer,Rio de Janeiro,No Medal
Zarina Kurbanova,F,21.0,170.0,54.0,UZB,2016 Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,2016,Summer,Rio de Janeiro,No Medal
Aleksey Yuryevich Kurbatov,M,22.0,185.0,74.0,RUS,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Soyib Kurbonov,M,28.0,186.0,100.0,UZB,2016 Summer,Judo,Judo Men's Half-Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Bartosz Kamil Kurek,M,27.0,205.0,87.0,POL,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Ayane Kurihara,F,26.0,172.0,59.0,JPN,2016 Summer,Badminton,Badminton Mixed Doubles,2016,Summer,Rio de Janeiro,No Medal
Mika Kurihara,F,27.0,176.0,68.0,JPN,2016 Summer,Basketball,Basketball Women's Basketball,2016,Summer,Rio de Janeiro,No Medal
Maria Kurjo,F,26.0,158.0,52.0,GER,2016 Summer,Diving,Diving Women's Platform,2016,Summer,Rio de Janeiro,No Medal
Cameron Roland Kurle,M,19.0,186.0,66.0,GBR,2016 Summer,Swimming,Swimming Men's 200 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Mehtap Kurnaz,F,21.0,160.0,63.0,TUR,2016 Summer,Weightlifting,Weightlifting Women's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Akane Kuroki,F,37.0,165.0,50.0,JPN,2016 Summer,Equestrianism,"Equestrianism Mixed Dressage, Individual",2016,Summer,Rio de Janeiro,No Medal
Moses Martin Kurong,M,22.0,,,UGA,2016 Summer,Athletics,"Athletics Men's 10,000 metres",2016,Summer,Rio de Janeiro,No Medal
Amanda Maria Kurtovic,F,25.0,175.0,71.0,NOR,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,Bronze
Anton Sudesh Peiris Kurukulasooriyage,M,31.0,165.0,65.0,SRI,2016 Summer,Weightlifting,Weightlifting Men's Featherweight,2016,Summer,Rio de Janeiro,No Medal
Mateusz Kus,M,29.0,200.0,112.0,POL,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Masatoshi Kushibiki,M,23.0,186.0,80.0,JPN,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Sabine Kusterer,F,25.0,156.0,60.0,GER,2016 Summer,Weightlifting,Weightlifting Women's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Thabiso Simon Kutumela,M,23.0,175.0,68.0,RSA,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Kristina Kuusk,F,30.0,180.0,74.0,EST,2016 Summer,Fencing,"Fencing Women's epee, Team",2016,Summer,Rio de Janeiro,No Medal
Ano Kuwai,F,26.0,172.0,70.0,JPN,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Yusaku Kuwazuru,M,30.0,188.0,98.0,JPN,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Mindaugas Kuzminskas,M,26.0,206.0,98.0,LTU,2016 Summer,Basketball,Basketball Men's Basketball,2016,Summer,Rio de Janeiro,No Medal
Andrey Aleksandrovich Kuznetsov,M,25.0,185.0,71.0,RUS,2016 Summer,Tennis,Tennis Men's Singles,2016,Summer,Rio de Janeiro,No Medal
Mikhail Nikolayevich Kuznetsov,M,31.0,174.0,72.0,RUS,2016 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Yevgeny Vladimirovich Kuznetsov,M,26.0,170.0,64.0,RUS,2016 Summer,Diving,Diving Men's Springboard,2016,Summer,Rio de Janeiro,No Medal
Polina Viktorovna Kuznetsova (Vyakhireva-),F,29.0,168.0,60.0,RUS,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,Gold
Svetlana Aleksandrovna Kuznetsova,F,31.0,174.0,73.0,RUS,2016 Summer,Tennis,Tennis Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Nataliya Yuryevna Kuzyutina,F,27.0,160.0,52.0,RUS,2016 Summer,Judo,Judo Women's Half-Lightweight,2016,Summer,Rio de Janeiro,Bronze
Illia Olehovych Kvasha,M,28.0,176.0,73.0,UKR,2016 Summer,Diving,Diving Men's Springboard,2016,Summer,Rio de Janeiro,No Medal
Matija Kvasina,M,34.0,180.0,72.0,CRO,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Andriy Vasylovych Kviatkovskiy,M,26.0,175.0,65.0,UKR,2016 Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Petra Kvitov,F,26.0,183.0,70.0,CZE,2016 Summer,Tennis,Tennis Women's Singles,2016,Summer,Rio de Janeiro,Bronze
Kwak Jung-Hye,F,29.0,164.0,64.0,KOR,2016 Summer,Shooting,"Shooting Women's Air Pistol, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Ronald Chebolei Kwemoi,M,20.0,172.0,58.0,KEN,2016 Summer,Athletics,"Athletics Men's 1,500 metres",2016,Summer,Rio de Janeiro,No Medal
Micha Kwiatkowski,M,26.0,176.0,66.0,POL,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Kwon Chang-Hoon,M,22.0,174.0,66.0,KOR,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
Kwon Jun-Cheol,M,27.0,178.0,76.0,KOR,2016 Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",2016,Summer,Rio de Janeiro,No Medal
Kwon Yong-Gwang,M,20.0,165.0,68.0,PRK,2016 Summer,Weightlifting,Weightlifting Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Mark Kyle,M,43.0,183.0,80.0,IRL,2016 Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",2016,Summer,Rio de Janeiro,No Medal
Tanja Kylliinen,F,23.0,155.0,57.0,FIN,2016 Summer,Swimming,Swimming Women's 200 metres Individual Medley,2016,Summer,Rio de Janeiro,No Medal
Maryna V'iacheslavivna Kylypko,F,20.0,164.0,58.0,UKR,2016 Summer,Athletics,Athletics Women's Pole Vault,2016,Summer,Rio de Janeiro,No Medal
"Erik Kynard, Jr.",M,25.0,194.0,89.0,USA,2016 Summer,Athletics,Athletics Men's High Jump,2016,Summer,Rio de Janeiro,No Medal
Anhelina Anatolivna Kysla,F,25.0,158.0,49.0,UKR,2016 Summer,Gymnastics,Gymnastics Women's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Enrico La Cruz,M,22.0,181.0,60.0,NED,2016 Summer,Boxing,Boxing Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Julio Csar La Cruz Peraza,M,26.0,182.0,81.0,CUB,2016 Summer,Boxing,Boxing Men's Light-Heavyweight,2016,Summer,Rio de Janeiro,Gold
Livio La Padula,M,30.0,183.0,72.0,ITA,2016 Summer,Rowing,Rowing Men's Lightweight Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Stefano La Rosa,M,30.0,166.0,55.0,ITA,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
El-Hadi Laameche,M,26.0,165.0,60.0,ALG,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
Tanel Laanme,M,26.0,183.0,95.0,EST,2016 Summer,Athletics,Athletics Men's Javelin Throw,2016,Summer,Rio de Janeiro,No Medal
Liina Laasma,F,24.0,174.0,67.0,EST,2016 Summer,Athletics,Athletics Women's Javelin Throw,2016,Summer,Rio de Janeiro,No Medal
Jana Labthov,F,27.0,162.0,50.0,SVK,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,2016,Summer,Rio de Janeiro,No Medal
Ibragim Suleymanovich Labazanov,M,28.0,164.0,59.0,RUS,2016 Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",2016,Summer,Rio de Janeiro,No Medal
Stephanie Lynn Marie Labb,F,29.0,178.0,53.0,CAN,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,Bronze
Lissa Mary Audrey Labiche,F,23.0,172.0,55.0,SEY,2016 Summer,Athletics,Athletics Women's High Jump,2016,Summer,Rio de Janeiro,No Medal
Yevgeny Labutov,M,31.0,194.0,120.0,KAZ,2016 Summer,Athletics,Athletics Men's Discus Throw,2016,Summer,Rio de Janeiro,No Medal
Rafael Antonio Lacayo Paladino,M,17.0,178.0,59.0,NCA,2016 Summer,Shooting,"Shooting Men's Air Pistol, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Genevieve LaCaze,F,26.0,164.0,53.0,AUS,2016 Summer,Athletics,"Athletics Women's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Hasnaa Lachgar,F,26.0,164.0,60.0,MAR,2016 Summer,Boxing,Boxing Women's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Asadulla Sabziyevich Lachinov,M,30.0,158.0,60.0,BLR,2016 Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Camille Lacourt,M,31.0,200.0,85.0,FRA,2016 Summer,Swimming,Swimming Men's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Alexandra Lacrabre,F,29.0,177.0,73.0,FRA,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,Silver
Audrey Lacroix,F,32.0,163.0,53.0,CAN,2016 Summer,Swimming,Swimming Women's 200 metres Butterfly,2016,Summer,Rio de Janeiro,No Medal
Jessie Khing Lacuna,M,22.0,170.0,70.0,PHI,2016 Summer,Swimming,Swimming Men's 400 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Caroline Ladagnous,F,27.0,172.0,65.0,FRA,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Rogen Ladon,M,22.0,165.0,49.0,PHI,2016 Summer,Boxing,Boxing Men's Light-Flyweight,2016,Summer,Rio de Janeiro,No Medal
Vegard Stake Laengen,M,27.0,193.0,77.0,NOR,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Franck Lafitte,M,27.0,203.0,94.0,FRA,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Thea LaFond,F,22.0,173.0,65.0,DMA,2016 Summer,Athletics,Athletics Women's Triple Jump,2016,Summer,Rio de Janeiro,No Medal
Marie-Zlia Lafont,F,29.0,171.0,63.0,FRA,2016 Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Bernard Kipchirchir Lagat,M,41.0,173.0,58.0,USA,2016 Summer,Athletics,"Athletics Men's 5,000 metres",2016,Summer,Rio de Janeiro,No Medal
Viola Cheptoo Lagat,F,27.0,165.0,,KEN,2016 Summer,Athletics,"Athletics Women's 1,500 metres",2016,Summer,Rio de Janeiro,No Medal
Albin Lagergren,M,23.0,188.0,94.0,SWE,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Karim Florent Laghouag,M,40.0,177.0,70.0,FRA,2016 Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",2016,Summer,Rio de Janeiro,No Medal
Anirban Lahiri,M,29.0,175.0,,IND,2016 Summer,Golf,Golf Men's Individual,2016,Summer,Rio de Janeiro,No Medal
Abdelmalik Lahoulou,M,24.0,177.0,72.0,ALG,2016 Summer,Athletics,Athletics Men's 400 metres Hurdles,2016,Summer,Rio de Janeiro,No Medal
Driss Lahrichi,M,18.0,190.0,83.0,MAR,2016 Summer,Swimming,Swimming Men's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Mouhcine Lahsaini,M,30.0,184.0,77.0,MAR,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Sarah Lahti,F,21.0,177.0,57.0,SWE,2016 Summer,Athletics,"Athletics Women's 10,000 metres",2016,Summer,Rio de Janeiro,No Medal
Lai Chu-En,M,20.0,168.0,56.0,TPE,2016 Summer,Boxing,Boxing Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Francisca Dias Laia,F,22.0,163.0,57.0,POR,2016 Summer,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",2016,Summer,Rio de Janeiro,No Medal
Alexus Lucienne Laird,F,23.0,172.0,61.0,SEY,2016 Summer,Swimming,Swimming Women's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Nicole Laird,F,23.0,191.0,75.0,AUS,2016 Summer,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,2016,Summer,Rio de Janeiro,No Medal
Pierre-Gilles Lakafia,M,29.0,183.0,95.0,FRA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Morgan Alexandra Lake,F,19.0,180.0,68.0,GBR,2016 Summer,Athletics,Athletics Women's High Jump,2016,Summer,Rio de Janeiro,No Medal
Sunita Lakra,F,25.0,158.0,57.0,IND,2016 Summer,Hockey,Hockey Women's Hockey,2016,Summer,Rio de Janeiro,No Medal
Jade Louise Lally,F,29.0,182.0,88.0,GBR,2016 Summer,Athletics,Athletics Women's Discus Throw,2016,Summer,Rio de Janeiro,No Medal
Genevive Lalonde,F,24.0,170.0,58.0,CAN,2016 Summer,Athletics,"Athletics Women's 3,000 metres Steeplechase",2016,Summer,Rio de Janeiro,No Medal
Ivet Miroslavova Lalova-Collio,F,32.0,168.0,56.0,BUL,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Eric Lamaze,M,48.0,170.0,65.0,CAN,2016 Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",2016,Summer,Rio de Janeiro,Bronze
Hayat Lambarki,F,28.0,172.0,57.0,MAR,2016 Summer,Athletics,Athletics Women's 400 metres Hurdles,2016,Summer,Rio de Janeiro,No Medal
Stephen Lambdin,M,28.0,188.0,109.0,USA,2016 Summer,Taekwondo,Taekwondo Men's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Claire Lambe,F,26.0,178.0,57.0,IRL,2016 Summer,Rowing,Rowing Women's Lightweight Double Sculls,2016,Summer,Rio de Janeiro,No Medal
Peter Lambert,M,29.0,190.0,90.0,GBR,2016 Summer,Rowing,Rowing Men's Quadruple Sculls,2016,Summer,Rio de Janeiro,No Medal
Regan Lamble,F,24.0,174.0,55.0,AUS,2016 Summer,Athletics,Athletics Women's 20 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Tracey Lambrechs,F,30.0,167.0,105.0,NZL,2016 Summer,Weightlifting,Weightlifting Women's Super-Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Mathilde Lamolle,F,19.0,167.0,58.0,FRA,2016 Summer,Shooting,"Shooting Women's Sporting Pistol, 25 metres",2016,Summer,Rio de Janeiro,No Medal
Francesco Lamon,M,22.0,173.0,60.0,ITA,2016 Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",2016,Summer,Rio de Janeiro,No Medal
Rnelle Lamote,F,22.0,165.0,59.0,FRA,2016 Summer,Athletics,Athletics Women's 800 metres,2016,Summer,Rio de Janeiro,No Medal
Narcisa Marisol Landzuri Bentez,F,25.0,165.0,52.0,ECU,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Niklas Landin Jacobsen,M,27.0,201.0,102.0,DEN,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,Gold
Laurisa Landre,F,30.0,174.0,67.0,FRA,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,Silver
Ghislaine Landry,F,28.0,163.0,65.0,CAN,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,Bronze
Megan Lane,F,25.0,178.0,66.0,CAN,2016 Summer,Equestrianism,"Equestrianism Mixed Dressage, Individual",2016,Summer,Rio de Janeiro,No Medal
Benjamin Lang,M,29.0,186.0,86.0,FRA,2016 Summer,Rowing,Rowing Men's Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Haniel Vincius Inoue Langaro,M,21.0,197.0,104.0,BRA,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Klaus Lange Saubidet,M,21.0,182.0,81.0,ARG,2016 Summer,Sailing,Sailing Men's Skiff,2016,Summer,Rio de Janeiro,No Medal
Santiago Ral Lange Roberti,M,54.0,184.0,73.0,ARG,2016 Summer,Sailing,Sailing Mixed Multihull,2016,Summer,Rio de Janeiro,Gold
Yago Lange Saubidet,M,28.0,180.0,77.0,ARG,2016 Summer,Sailing,Sailing Men's Skiff,2016,Summer,Rio de Janeiro,No Medal
Harold Langen,M,29.0,188.0,90.0,NED,2016 Summer,Rowing,Rowing Men's Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Kai Langerfeld,M,29.0,197.0,100.0,CAN,2016 Summer,Rowing,Rowing Men's Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Andranne Langlois,F,23.0,158.0,59.0,CAN,2016 Summer,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",2016,Summer,Rio de Janeiro,No Medal
Miah-Marie Langlois,F,24.0,170.0,63.0,CAN,2016 Summer,Basketball,Basketball Women's Basketball,2016,Summer,Rio de Janeiro,No Medal
"Christopher Phillip ""Chris"" Langridge",M,31.0,180.0,,GBR,2016 Summer,Badminton,Badminton Men's Doubles,2016,Summer,Rio de Janeiro,Bronze
"Matthew Keir ""Matt"" Langridge",M,33.0,194.0,93.0,GBR,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,Gold
Annika Langvad,F,32.0,174.0,63.0,DEN,2016 Summer,Cycling,"Cycling Women's Mountainbike, Cross-Country",2016,Summer,Rio de Janeiro,No Medal
Arthur Lanigan-O'Keeffe,M,24.0,182.0,76.0,IRL,2016 Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,2016,Summer,Rio de Janeiro,No Medal
Aurimas Lankas,M,30.0,178.0,89.0,LTU,2016 Summer,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2016,Summer,Rio de Janeiro,Bronze
Talisa Lanoe,F,22.0,167.0,50.0,KEN,2016 Summer,Swimming,Swimming Women's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Delphine Lansac,F,21.0,169.0,60.0,FRA,2016 Summer,Badminton,Badminton Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Monica Lanz,F,25.0,180.0,70.0,NED,2016 Summer,Rowing,Rowing Women's Coxed Eights,2016,Summer,Rio de Janeiro,No Medal
Filippo Lanza,M,25.0,198.0,98.0,ITA,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,Silver
Peamwilai Laopeam,F,32.0,163.0,51.0,THA,2016 Summer,Boxing,Boxing Women's Flyweight,2016,Summer,Rio de Janeiro,No Medal
Fabrice Lapierre,M,32.0,179.0,69.0,AUS,2016 Summer,Athletics,Athletics Men's Long Jump,2016,Summer,Rio de Janeiro,No Medal
Danielle Suzanne Lappage,F,25.0,165.0,63.0,CAN,2016 Summer,Wrestling,"Wrestling Women's Middleweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Nicols Laprovittola,M,26.0,193.0,88.0,ARG,2016 Summer,Basketball,Basketball Men's Basketball,2016,Summer,Rio de Janeiro,No Medal
Manrique Larduet Bicet,M,20.0,160.0,63.0,CUB,2016 Summer,Gymnastics,Gymnastics Men's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Ian Lariba,F,21.0,162.0,56.0,PHI,2016 Summer,Table Tennis,Table Tennis Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Dmitry Olegovich Larionov,M,30.0,185.0,84.0,RUS,2016 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Yekaterina Alekseyevna Larionova,F,22.0,158.0,63.0,KAZ,2016 Summer,Wrestling,"Wrestling Women's Middleweight, Freestyle",2016,Summer,Rio de Janeiro,Bronze
Larissa Frana Maestrini,F,34.0,174.0,68.0,BRA,2016 Summer,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,2016,Summer,Rio de Janeiro,No Medal
"Mitchell James ""Mitch"" Larkin",M,23.0,187.0,72.0,AUS,2016 Summer,Swimming,Swimming Men's 100 metres Backstroke,2016,Summer,Rio de Janeiro,No Medal
Jos Mara Larocca,M,47.0,187.0,83.0,ARG,2016 Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",2016,Summer,Rio de Janeiro,No Medal
Emil Larsen,M,25.0,183.0,79.0,DEN,2016 Summer,Football,Football Men's Football,2016,Summer,Rio de Janeiro,No Medal
